,Country Name,Country Code,Indicator Name,Indicator Code,2018
240,Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1389858.0
241,Tunisia,TUN,"Population, total",SP.POP.TOTL,11565204.0
242,Turkey,TUR,"Population, total",SP.POP.TOTL,82319724.0
243,Tuvalu,TUV,"Population, total",SP.POP.TOTL,11508.0
244,Tanzania,TZA,"Population, total",SP.POP.TOTL,56318348.0
245,Uganda,UGA,"Population, total",SP.POP.TOTL,42723139.0
246,Ukraine,UKR,"Population, total",SP.POP.TOTL,44622516.0
247,Upper middle income,UMC,"Population, total",SP.POP.TOTL,2655635719.0
248,Uruguay,URY,"Population, total",SP.POP.TOTL,3449299.0
249,United States,USA,"Population, total",SP.POP.TOTL,327167434.0
250,Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32955400.0
251,St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110210.0
252,"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28870195.0
253,British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29802.0
254,Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106977.0
255,Vietnam,VNM,"Population, total",SP.POP.TOTL,95540395.0
256,Vanuatu,VUT,"Population, total",SP.POP.TOTL,292680.0
257,World,WLD,"Population, total",SP.POP.TOTL,7594270356.0
258,Samoa,WSM,"Population, total",SP.POP.TOTL,196130.0
259,Kosovo,XKX,"Population, total",SP.POP.TOTL,1845300.0
260,"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,28498687.0
261,South Africa,ZAF,"Population, total",SP.POP.TOTL,57779622.0
262,Zambia,ZMB,"Population, total",SP.POP.TOTL,17351822.0
263,Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14439018.0
